"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004041608604","https://ae04.alicdn.com/kf/Sc29975e64e0e49b1b43714113aa83699u.jpg",,"Xiuya Motorcycle Style Cool Shoulder Bag 2022 Crocodile Pattern Black Hot Girls Underarm Cell Phone Bag Metal Heart Handbags","USD 28.62","USD 17.74","38%","USD","7","USD 1.24","149","95.8%","https://s.click.aliexpress.com/e/_DebOAP1",,,,,,
"1005003666650743","https://ae04.alicdn.com/kf/H88b3c5f173ec4e4fab6c4b5f1a12681eV.jpg",,"DOLOVE Women Casual Simple Messenger Bag Hip Hop Style Ladies Handbags Mini Shoulder Bags Couple Phone Pouch Girls Classic Tote","USD 9.15","USD 5.95","35%","USD","7","USD 0.42","278","97.8%","https://s.click.aliexpress.com/e/_DmGKB1p",,,,,,
"1005005076969056","https://ae04.alicdn.com/kf/S7a01b4e055864394945c37941dfee382x.jpg",,"2022 Bags Men Shoulder Bag Fashion London UK Messenger Bag Male Reflective Black Top Quality Bolso Bag Sacoche New","USD 90.00","USD 19.80","78%","USD","7","USD 1.39","31","100.0%","https://s.click.aliexpress.com/e/_DmRaIt5",,,,,,
"33025584587","https://ae04.alicdn.com/kf/HTB1Y3wxaxiH3KVjSZPfq6xBiVXac.jpg",,"designer men bag fashion Shoulder bag Business briefcase Men Messenger Bags vintage Leather Crossbody Bag Casual Man Handbags","USD 52.95","USD 27.00","49%","USD","8.0","USD 2.16","22","100.0%","https://s.click.aliexpress.com/e/_DmrM7kr",,,,,,
"1005004158012777","https://ae04.alicdn.com/kf/S28630787e84d4460bf1f16af45e62ee0P.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100012916131.mp4","PNDME casual simple high-quality genuine leather women's small crossbody bag weekend outdoor natural real cowhide shoulder bag","USD 120.60","USD 61.51","49%","USD","10.0","USD 6.15","21","100.0%","https://s.click.aliexpress.com/e/_DkVSCVd",,,,,,
"32890408475","https://ae04.alicdn.com/kf/HTB1iBDxJWSWBuNjSsrbq6y0mVXaw.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/215305116666.mp4","New Genuine Leather men's Crossbody Shoulder bag Vintage Cowhide Messenger Bag for male Small Casual handbag","USD 48.78","USD 21.95","55%","USD","7","USD 1.54","217","94.4%","https://s.click.aliexpress.com/e/_DBjRcKB",,,,,,
"1005004633783363","https://ae04.alicdn.com/kf/Sa85d74037b2c4b4bb05a0d2142942121X.jpg",,"2022 Japanese Simple Messenger Bag Pouch Nylon Waterproof Canvas Handbag Shoulder Crossbody Bags for Women Men Satchels Bolsas","USD 10.58","USD 4.23","60%","USD","7","USD 0.30","30","82.5%","https://s.click.aliexpress.com/e/_DB3MK47",,,,,,
"1005004069439165","https://ae04.alicdn.com/kf/S88a9545b0a6b4caf86d30273530556be6.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352071620053.mp4","Canvas Student Crossbody Bags for Women 2022 Japanese Cartoon Print Small Shoulder Bag Cute Fashion Kawaii Messenger Bag Phone","USD 6.83","USD 4.10","40%","USD","7","USD 0.29","37","90.0%","https://s.click.aliexpress.com/e/_DDL2aB1",,,,,,
"33037096785","https://ae04.alicdn.com/kf/Hdb298a85987346e9b385820b6f1103f1c.jpg",,"Brown Fashion Men Messenger Bags Genuine Leather Handbags for Man Luxury Brand Male Crossbody Bag for Mini Pad Boy Shoulder Bag","USD 45.00","USD 24.30","46%","USD","8.0","USD 1.94","81","97.5%","https://s.click.aliexpress.com/e/_DEUOBrN",,,,,,
"1005004702400508","https://ae04.alicdn.com/kf/Sc86e171407354f9a9fc7ccb9c7dce13cE.png",,"Women's Wallet Shoulder Mini Leather Bags Straps Mobile Phone Big Card Holders Wallet Handbag Money Pockets Girls Small Bags","USD 4.05","USD 1.17","71%","USD","7","USD 0.08","397","93.0%","https://s.click.aliexpress.com/e/_DFBafMJ",,,,,,
